rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-102.43,8.9,2497,114,186,466944,-0.0013020173495169728,2219.964687652588,0.06496337890625,0.008398661,0.2,-1.800811104774475,1e-05,11300,747.60302734375,0.10088193416595459,,
-95.9,9.04,2520,115,186,471040,-0.016953168568288674,3251.8621018981935,0.0464697265625,0.020851528,0.2,-1.8046769699454308,1e-05,11400,928.7073364257812,0.0030916929244995117,,
-77.74,7.85,2543,116,186,475136,-0.012219063153315802,2619.7089393615724,0.05181396484375,0.016935948,0.2,-1.8299415448307992,1e-05,11500,927.5107421875,0.09039455652236938,,
-83.09,8.24,2565,117,186,479232,-0.0033688145606720356,2222.981515197754,0.06134033203125,0.008536214,0.2,-1.8533032889664174,1e-05,11600,1026.494140625,0.1408035159111023,,
-86.37,9.5,2588,118,186,483328,-0.010729520805180073,3067.7983911132815,0.03770751953125,0.010880757,0.2,-1.8422625881433488,1e-05,11700,865.1875610351562,-0.03406846523284912,,
-75.75,7.49,2610,119,186,487424,-0.004688614578481065,2300.372013092041,0.0571142578125,0.008067193,0.2,-1.8457743100821973,1e-05,11800,1001.3045654296875,0.07820659875869751,,
-111.4,10.24,2633,120,186,491520,-0.011318616883363575,2668.923810119629,0.05624267578125,0.013308035,0.2,-1.829117817878723,1e-05,11900,984.495361328125,0.0084306001663208,,
-84.5,8.82,2655,121,186,495616,-0.02222438283264637,4095.419406585693,0.07019287109375,0.028759222,0.2,-1.8294005343317985,1e-05,12000,1137.3701171875,0.04802221059799194,,
-88.19,5.91,2677,122,186,499712,-0.00607658722627093,2180.5713093566897,0.098818359375,0.009417608,0.2,-1.8372701014578343,1e-05,12100,910.5714721679688,-0.09846603870391846,,
-75.28,7.67,2700,123,186,503808,-0.005513903626269894,2512.638570251465,0.10083984375,0.011803749,0.2,-1.8371838036179542,1e-05,12200,1193.745361328125,0.1346595287322998,,
-87.03,9.5,2722,124,186,507904,-0.011181951473845401,3321.148469848633,0.0409130859375,0.012649423,0.2,-1.8378614914417266,1e-05,12300,1168.5982666015625,-0.04538834095001221,,
-98.9,8.65,2747,125,186,512000,-0.005576948546804488,2224.605496673584,0.08768798828125,0.008958962,0.2,-1.8060041853785516,1e-05,12400,889.0377197265625,0.1411340832710266,,
