#{"t_start": 1641665631.797942, "env_id": null}
r,l,t
-97,2,24.042843
-104,6,24.048843
-153,20,24.068094
-105,1,24.070092
-105,1,24.071092
-102,3,24.074092
-109,3,24.078092
-96,9,24.087093
-67,14,24.102092
-119,10,24.112092
-109,8,24.121094
-114,8,24.129093
-97,2,24.132092
-96,3,24.135092
-97,2,24.138092
-105,1,24.139092
-88,4,24.143092
-121,11,24.154092
-89,3,24.158093
-105,1,24.159092
-116,11,24.170092
-121,11,24.181092
-93,5,24.187092
-245,40,24.226092
-105,1,24.228094
-106,10,24.238094
5,14,24.253092
122,34,24.288094
-105,1,24.290092
-89,4,24.294092
-248,32,24.325092
-88,12,24.338096
-106,11,24.351093
-106,5,24.356097
-101,5,24.362093
-126,16,24.377092
-107,4,24.381092
-116,11,24.393092
-101,4,24.397092
-107,4,24.401092
-69,13,24.415096
-105,1,24.417093
-119,9,24.426097
-104,6,24.432092
-101,8,24.441092
-249,35,24.475092
-92,7,24.482092
-105,1,24.484092
-31,17,24.501092
-86,31,24.533092
-94,4,24.537093
-95,9,24.546093
-105,1,24.548093
-94,4,24.552093
-105,1,24.554092
-97,2,24.556093
2,12,24.569094
-119,9,24.578092
-105,1,24.580092
-103,7,24.587092
-105,1,24.589092
-97,2,24.591092
-105,1,24.592092
-39,58,24.649093
-122,7,24.656092
-105,6,24.663093
-99,5,24.668094
-28,16,24.685092
-90,10,24.695092
-99,5,24.700092
-105,1,24.702092
-115,3,24.705092
-94,4,24.709092
-104,2,24.712092
-98,6,24.718092
-97,2,24.721092
61,26,24.748092
-105,1,24.750092
-109,7,24.757092
-107,4,24.762092
-99,15,24.777092
-89,3,24.780093
-105,1,24.782092
-107,4,24.786093
-110,2,24.788093
-141,42,24.831093
93,21,24.853092
-94,4,24.857092
-105,1,24.859097
-105,1,24.860096
-114,8,24.868096
-102,19,24.887092
-112,5,24.892092
-105,1,24.894093
-88,4,24.898092
-97,2,24.901097
-104,7,24.908096
-102,3,24.911093
-97,2,24.914092
-143,27,24.941097
-105,1,24.942092
-92,6,24.949097
-116,11,24.960092
-105,1,24.961093
-105,1,24.963097
-105,1,24.964096
-104,2,24.966092
-104,2,24.969096
-105,1,24.970092
-94,5,24.976092
-113,9,24.985092
-102,3,24.988092
-107,10,24.998096
-97,2,25.001096
-70,15,25.017092
-94,4,25.022092
-172,46,25.069094
-97,2,25.071093
-97,2,25.074092
-108,34,25.109093
-104,6,25.115092
-99,5,25.120092
-89,3,25.124092
-86,5,25.129093
-79,5,25.135092
-104,6,25.141093
-99,5,25.146092
-102,3,25.150093
-89,3,25.154092
-139,16,25.169093
-107,4,25.173092
-105,1,25.175092
-97,2,25.177092
-97,2,25.179094
-105,1,25.181093
-105,1,25.182092
-97,2,25.185092
-110,2,25.187093
-97,2,25.190092
-109,7,25.197092
-105,1,25.198092
-119,18,25.217092
-121,8,25.225118
-105,1,25.226119
-97,2,25.22912
-100,10,25.23912
-109,7,25.246118
-97,2,25.248118
-83,16,25.264118
-102,3,25.268118
-98,7,25.275118
-94,4,25.279119
-104,6,25.286118
-105,1,25.287118
-129,12,25.29912
-109,7,25.306118
-104,6,25.313118
-97,2,25.315119
-97,2,25.318118
-105,1,25.319119
-94,4,25.323118
-97,2,25.326118
-121,18,25.344118
-93,5,25.351118
160,28,25.380647
-14,19,25.399649
-79,46,25.447647
-7,15,25.463647
-104,2,25.465647
-90,8,25.473649
-129,12,25.485647
-85,18,25.503647
-112,5,25.509649
-102,3,25.512648
-97,2,25.515647
-97,2,25.517647
-97,2,25.519649
-92,7,25.527647
-104,6,25.533647
-105,1,25.535647
-99,5,25.540647
-102,3,25.543647
-105,11,25.554647
-107,4,25.559649
-102,3,25.562647
-105,1,25.564647
-108,9,25.573647
-105,1,25.574647
-99,5,25.580647
-101,4,25.584647
-102,3,25.588647
-136,11,25.599648
-80,13,25.612647
-89,3,25.616647
-99,5,25.621647
-105,1,25.623647
-109,7,25.630647
-102,3,25.633648
-114,8,25.641647
-124,6,25.647647
-105,1,25.649637
-99,5,25.654647
-97,2,25.657647
-119,9,25.666651
-88,4,25.670648
-90,41,25.712647
-104,6,25.718651
-105,1,25.719652
37,36,25.756647
-105,1,25.758647
-107,4,25.762651
-89,3,25.766647
-102,3,25.769652
-97,2,25.771652
-97,2,25.774647
-89,3,25.777651
-108,4,25.782647
-105,1,25.783647
19,43,25.826651
-105,1,25.828647
-20,17,25.845651
-71,6,25.852647
-102,4,25.856651
-105,1,25.858651
-106,8,25.866647
-110,2,25.868647
-105,1,25.870647
-81,24,25.895647
-18,14,25.910647
-97,2,25.912647
-105,1,25.914647
-118,11,25.925647
-107,19,25.944647
-96,3,25.948647
-105,1,25.949648
-102,3,25.953648
-108,8,25.961647
-89,3,25.964647
-104,2,25.967647
-89,3,25.970647
-97,2,25.973647
-94,5,25.978647
-116,12,25.990647
-105,1,25.992647
-108,9,26.001647
-93,5,26.006647
-90,15,26.022647
-105,1,26.023647
-107,4,26.028636
-150,21,26.048648
-96,3,26.051647
-105,1,26.053647
-97,2,26.055647
66,31,26.087758
-98,6,26.094758
-114,9,26.103758
-137,21,26.123758
-89,3,26.127758
-107,4,26.131758
-42,29,43.329892
-109,7,43.337891
-97,2,43.340892
-97,2,43.343893
-105,1,43.344892
-107,16,43.361892
-102,3,43.365892
-111,6,43.372892
-107,4,43.376892
-105,1,43.378892
-98,6,43.384892
-105,1,43.386892
-105,1,43.388892
-105,1,43.389894
-110,2,43.392892
-97,2,43.394892
-105,1,43.396892
-102,3,43.399894
-105,1,43.401892
-105,1,43.403892
-131,18,43.421892
-121,11,43.433892
-110,2,43.435892
-122,20,43.456892
-105,1,43.458892
-105,1,43.459893
-11,10,43.471892
-104,2,43.473892
-97,3,43.477892
-105,1,43.479894
-124,10,43.489894
-97,2,43.492892
-114,8,43.501892
-98,18,43.521891
-97,2,43.523892
-105,1,43.525891
-123,23,43.549891
-10,14,43.565907
-102,3,43.568904
-112,5,43.574903
-105,1,43.575907
-105,1,43.576907
-97,2,43.579904
-101,4,43.583907
-99,5,43.589904
-17,16,43.606907
-114,8,43.614908
-102,3,43.618907
-105,1,43.620907
-105,1,43.621907
-114,8,43.629904
-105,1,43.631908
-105,1,43.632907
-105,1,43.634903
-107,4,43.638903
-89,3,43.642908
-97,2,43.644904
-100,9,43.654903
-101,8,43.662904
-97,2,43.665903
-89,4,43.669904
-102,3,43.673904
-102,3,43.676904
-110,12,43.688903
-105,1,43.690903
-94,4,43.694904
-97,2,43.697903
-97,2,43.699903
-150,21,43.719903
-105,12,43.731903
-99,5,43.737903
-96,6,43.743903
-105,1,43.745904
-97,2,43.747903
-94,4,43.751903
-31,16,43.768903
-105,1,43.770904
-102,3,43.773905
79,26,43.801953
-105,1,43.802953
-105,1,43.804952
-104,2,43.806953
147,32,43.840952
-104,6,43.846952
-104,16,43.862941
-102,3,43.866941
-15,15,43.881941
-104,6,43.888942
-107,5,43.893941
-105,1,43.895939
-101,4,43.899939
-113,9,43.908939
-102,3,43.912939
-105,1,43.913939
-99,5,43.919939
-105,1,43.920939
-105,1,43.922939
0,11,43.933939
-94,4,43.938939
-94,4,43.94294
-114,8,43.951952
-105,11,43.962952
-97,2,43.964952
-115,10,43.974956
-108,4,43.979953
-105,1,43.980952
-96,7,43.987952
-104,2,43.990952
-105,1,43.991952
-110,2,43.994956
-94,4,43.998957
-104,2,44.000952
-112,5,44.006956
-95,9,44.015957
-105,1,44.017952
-99,5,44.022953
-105,1,44.024952
-102,3,44.027952
-117,24,44.052956
-97,2,44.055953
-104,6,44.061952
-94,4,44.066956
-85,7,44.073953
-99,5,44.079952
-94,5,44.084952
-94,8,44.093954
-110,2,44.095953
-105,1,44.097953
-85,7,44.104953
-110,2,44.107953
-80,6,44.113957
-96,7,44.121952
-110,2,44.123953
-105,1,44.124952
-101,7,44.132952
-109,7,44.139956
-105,1,44.141685
-43,20,44.16221
-105,1,44.16321
-104,2,44.16621
-107,4,44.170209
-108,8,44.178209
-97,2,44.181209
-93,5,44.186214
56,30,44.218209
-79,6,44.22521
-104,6,44.23121
-106,19,44.251213
-113,9,44.26021
-112,6,44.266213
-119,9,44.27621
-97,2,44.278209
-97,2,44.280209
-97,2,44.28321
0,18,44.303213
-94,4,44.307209
-105,1,44.309213
-97,2,44.31121
-94,5,44.317214
-97,2,44.319209
-88,12,44.33221
-97,2,44.335209
-105,1,44.33621
-102,3,44.340209
-105,1,44.341209
-116,11,44.35221
-101,7,44.360209
-105,1,44.36121
-110,2,44.364211
-94,4,44.36821
-129,16,44.383209
-89,3,44.387209
-102,3,44.390209
-93,5,44.39621
152,20,44.417209
-105,1,44.419209
-105,1,44.420209
-89,3,44.42321
-105,1,44.42521
-97,2,44.42721
-22,15,44.44321
-105,1,44.445211
-104,6,44.451209
-122,7,44.458209
-105,1,44.460209
-102,3,44.46321
-99,4,44.46721
-105,1,44.46921
-97,2,44.47121
-100,10,44.482209
-97,2,44.48421
-105,1,44.48621
-105,1,44.48721
-109,7,44.49421
-105,1,44.49621
-105,1,44.49721
-129,24,44.522209
-102,3,44.525209
-36,26,44.55421
-105,1,44.55521
-105,1,44.55721
-105,1,44.55821
-230,27,44.58421
-96,3,44.588198
-105,1,44.589209
-106,10,44.600209
64,47,44.647213
-129,12,44.659214
-89,4,44.664211
-88,8,44.67221
6,32,44.70421
-121,18,44.72221
-97,2,44.725209
-96,3,44.728213
-105,1,44.73021
-105,1,44.73121
-97,2,44.734213
-97,2,44.73621
-110,2,44.738209
-97,2,44.741209
-105,1,44.742209
-105,1,44.744214
-105,1,44.745214
-105,1,44.747213
-114,8,44.755209
-105,1,44.757214
-110,2,44.759209
-99,5,44.76421
-107,4,44.769209
-102,3,44.772214
-105,1,44.77421
-105,1,44.77521
-91,7,44.78321
-119,9,44.792209
-97,2,44.79421
-94,4,44.799213
-102,3,44.80221
-106,13,44.816214
-89,3,44.819209
-117,13,44.83221
-94,4,44.837209
-116,12,44.849214
-103,3,44.85221
-99,5,44.857209
-97,2,44.86021
-97,3,44.86421
-14,10,44.874211
-105,1,44.87521
-94,4,44.880209
-62,24,44.904211
-93,5,44.909199
-101,4,44.914199
-66,5,44.919198
-80,6,44.926198
-117,11,44.937198
-110,2,44.939198
-104,2,44.942198
-105,1,44.943198
-105,1,44.945199
-110,12,44.957196
-112,17,44.974197
-101,4,44.979196
-105,1,44.980196
-109,8,44.989196
-105,1,44.990196
-94,4,44.994196
-93,5,45.000196
-124,13,45.013209
-104,6,45.01921
-102,3,45.022209
-107,4,45.02721
-90,8,45.03521
-91,7,45.04321
-105,1,45.04421
-102,3,45.048209
-96,3,45.05121
-105,1,45.05321
-104,6,45.059209
-105,1,45.06021
-106,15,45.07621
-104,6,45.082209
-105,1,45.084211
-151,20,45.103209
-106,5,45.109197
1,14,45.12421
-105,1,45.126198
-97,2,45.12821
-99,6,45.134211
-101,4,45.139209
-110,12,45.151209
-102,14,45.16521
-105,1,45.16721
-105,1,45.16821
-97,2,45.17121
-114,9,45.180213
-107,4,45.184211
-105,1,45.18621
-94,4,45.190213
-109,7,45.198209
-105,1,45.199214
-107,4,45.20321
-105,1,45.205214
-96,3,45.208209
-102,24,45.23293
-89,3,45.236934
-99,6,45.242933
-115,16,45.25993
-107,4,45.263929
-89,3,45.26793
-129,12,45.27993
