time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
223885,484,-333953.3,394,514.9,567,0.8936546250000004,43471,0.0001,3.923276424407959
225667,488,-333869.92,398,518.31,566,0.8928081749999998,43916,0.0001,4.360138416290283
228604,492,-347546.24,405,531.74,564,0.8914131000000005,44650,0.0001,2.748800277709961
230072,496,-342344.14,408,525.6,563,0.8907158000000005,45017,0.0001,3.55930757522583
231780,500,-330801.7,412,513.54,562,0.8899045000000004,45444,0.0001,3.0507800579071045
233440,504,-332811.34,415,514.71,561,0.8891159999999999,45859,0.0001,3.1169376373291016
234770,508,-321514.82,418,502.58,560,0.8884842500000002,46192,0.0001,3.288475513458252
237108,512,-339106.78,423,511.75,559,0.8873737000000004,46776,0.0001,4.972173690795898
239122,516,-339338.16,428,512.6,558,0.8864170499999998,47280,0.0001,2.589097499847412
241671,520,-348101.94,433,519.46,556,0.8852062749999995,47917,0.0001,1.9714622497558594
243676,524,-328635.52,438,509.97,555,0.8842539000000004,48418,0.0001,3.23490571975708
246415,528,-342975.64,444,515.37,554,0.8829528750000001,49103,0.0001,2.0850677490234375
248671,532,-335146.64,449,509.23,553,0.8818812749999998,49667,0.0001,2.234828233718872
