#{"t_start": 1642059931.976555, "env_id": null}
r,l,t
0,54,47.359631
0,54,47.421631
0,54,47.479631
0,54,47.534634
0,48,47.581631
0,41,47.628631
0,46,47.678633
0,54,47.752185
0,40,47.794182
0,54,47.855182
0,47,47.902186
20,61,47.969183
0,54,48.023182
0,52,48.079182
20,63,48.142182
0,54,48.199183
10,63,48.267182
0,54,48.327183
0,54,48.381182
0,49,48.449183
0,54,48.506182
0,54,48.565184
0,54,48.620182
0,54,48.674753
0,54,48.743753
20,63,48.814055
0,54,48.868053
0,54,48.919054
0,52,48.970053
0,54,49.027053
0,53,49.087054
0,50,49.140054
0,54,49.190053
0,54,49.245053
0,53,49.298054
0,42,49.338053
0,39,49.376053
10,63,49.449054
10,59,49.507054
0,51,49.559053
20,56,49.617054
0,46,49.668054
0,45,49.710053
0,53,49.762607
0,54,49.815702
0,52,49.870703
0,48,49.917702
0,54,49.980702
0,53,50.031703
0,54,50.093291
0,50,50.140291
10,57,50.197291
0,52,50.248291
0,52,50.304291
0,54,50.361293
0,48,50.41429
0,49,50.467292
10,60,50.534291
0,51,50.583291
0,53,50.636293
0,54,50.691291
0,46,50.74029
0,47,50.787292
0,41,50.829291
0,47,50.875292
0,37,50.918292
0,54,50.972292
0,54,51.02529
0,47,51.074291
0,45,51.126292
0,52,51.178292
0,48,51.225291
0,47,51.273292
0,48,51.326291
0,54,51.378291
0,50,51.426291
0,54,51.47929
0,53,51.537292
0,54,51.590291
0,54,51.655291
0,46,51.699293
0,46,51.761291
0,40,51.801128
0,48,51.848054
0,54,51.902054
0,54,51.963054
0,54,52.024056
0,54,52.079053
0,46,52.122055
0,54,52.179054
0,49,52.235054
0,49,52.293054
0,46,52.337054
0,54,52.402054
0,47,52.453054
0,54,52.504055
0,54,52.555053
0,54,52.614054
0,46,52.658054
0,54,52.712055
0,54,52.766055
0,54,52.823054
0,54,52.87606
0,50,52.925054
0,47,52.973055
0,48,53.026054
0,52,53.078054
0,54,53.131055
0,54,53.185055
0,49,53.241054
0,54,53.294054
0,54,53.346055
10,52,53.406057
0,54,53.463054
10,56,53.521054
0,54,53.576055
0,46,53.622744
0,45,53.673746
0,41,53.714745
0,52,53.76632
20,51,53.816422
0,50,53.874176
10,56,53.943176
0,54,53.999177
0,53,54.052176
20,63,54.120177
0,46,54.167176
0,54,54.221176
0,44,54.266176
0,49,54.328175
0,43,54.373178
0,52,54.427176
0,54,54.482176
